GenreLink,Genre,NumberOfPeople
/work/shelves/96418,physical-science,4
/work/shelves/96418,physical,4
/work/shelves/96418,have,4
/work/shelves/96435,shelved,1
/work/shelves/96435,non-technical,1
/work/shelves/96435,owned-books,1
/work/shelves/96435,ميكانيكا-الكم,1
/work/shelves/96435,quantum-computing,1
/work/shelves/96435,books-wantex,1
/work/shelves/96435,owned-nonfiction,1
/work/shelves/96435,backlog,1
/work/shelves/96435,important-non-fiction,1
/work/shelves/96435,all-introductory-books,1
/work/shelves/96435,on-a-shelf,1
/work/shelves/96429,to-read,1031
/work/shelves/96429,philosophy,109
/work/shelves/208911,uncategorized,1
/work/shelves/208911,export,1
/work/shelves/208911,other,1
/work/shelves/208911,530-physics,1
/work/shelves/208911,audio_wanted,1
/work/shelves/208911,physics-wider-reading,1
/work/shelves/208911,science-reading,1
/work/shelves/208911,20ste-verjaardag,1
/work/shelves/208911,bin-b,1
/work/shelves/208911,own-tbr,1
/work/shelves/208911,ebook,1
/work/shelves/96431,فلسفه,3
/work/shelves/96431,political-thought,3
/work/shelves/96431,owned-books,3
/work/shelves/96431,short-introductions,3
/work/shelves/96431,default,3
/work/shelves/96431,ebooks,3
/work/shelves/96431,university,3
/work/shelves/96431,introductions,3
/work/shelves/96431,2021,2
/work/shelves/2676767,currently-reading,73
/work/shelves/2676767,mystery,65
/work/shelves/2676767,fiction,27
/work/shelves/2676767,short-stories,20
/work/shelves/2676767,walter-mosley,14
/work/shelves/2676767,african-american,13
/work/shelves/2676767,crime,12
/work/shelves/2676767,owned,11
/work/shelves/96433,academic,2
/work/shelves/96433,short-introductions,2
/work/shelves/96433,very-short-introductions-want,2
/work/shelves/96433,political-philosophy,2
/work/shelves/96433,ww-university-courses,2
/work/shelves/96433,read-in-2017,2
/work/shelves/96433,hukuk,2
/work/shelves/96433,social-sciences,2
/work/shelves/96433,2017,2
/work/shelves/96433,digital,2
/work/shelves/96418,my-bookshelf,4
/work/shelves/96418,school,4
/work/shelves/96418,bilim,4
/work/shelves/96418,e-book,4
/work/shelves/96418,nonfiction-science,4
/work/shelves/96418,science-and-maths,4
/work/shelves/96435,got-it,1
/work/shelves/96435,wanted-audio,1
/work/shelves/96435,wanted,1
/work/shelves/96435,physics-cosmology,1
/work/shelves/96435,unc,1
/work/shelves/96435,nonf,1
/work/shelves/96429,currently-reading,45
/work/shelves/96429,non-fiction,30
/work/shelves/96429,religion,19
/work/shelves/96429,india,18
/work/shelves/96429,a-very-short-introduction,13
/work/shelves/96429,hinduism,12
/work/shelves/208911,ex-book,1
/work/shelves/208911,temp,1
/work/shelves/208911,kindle-david-s-books,1
/work/shelves/208911,tsundoko,1
/work/shelves/208911,download333,1
/work/shelves/96431,introduction,2
/work/shelves/96431,ibooks,2
/work/shelves/96431,audiobook,2
/work/shelves/96431,paperback,2
/work/shelves/96431,justice,2
/work/shelves/96431,vsi-philosophy,2
/work/shelves/96431,humanities,2
/work/shelves/96431,philosophy-political,2
/work/shelves/96431,philosophy-and-politics,2
/work/shelves/96431,سیاست,2
/work/shelves/2676767,detective,10
/work/shelves/2676767,mysteries,10
/work/shelves/2676767,series,9
/work/shelves/2676767,easy-rawlins,9
/work/shelves/2676767,mosley,7
/work/shelves/2676767,favorites,7
/work/shelves/2676767,mystery-thriller,6
/work/shelves/2676767,historical-fiction,5
/work/shelves/2676767,own,5
/work/shelves/96433,general,2
/work/shelves/96433,ebook,2
/work/shelves/96433,hukuk-felsefesi,2
/work/shelves/96433,very-short-introduction,2
/work/shelves/96433,legal,2
